Filename: 

Position of PCB: 
left under edge: X=0 / Y=0 

name	X-axis	Y-axis	angle	value	package	side
R144	65.9900	85.7200	180.000	316 0.1%	R0805_0_R0603_316 0.1%	top
R145	58.8300	89.4800	180.000	499 1%	R0805_1_R0603_499 1%	bot
R146	58.8000	91.4000	180.000	1K 0.1%	R0805_1_R0603_1K 0.1%	bot
R147	65.5000	79.5300	0.000	499 1%	R0805_1_R0603_499 1%	bot
R148	68.3000	79.0000	90.000	16K 0.1%	R0805_1_R0603_16K 0.1%	bot
R150	58.8000	87.9000	0.000	DP 1%	R0805_1_R0603_DP 1%	bot
R152	103.7100	42.6300	90.000	100K 1%	R0805_6_R0603_100K 1%	bot
R153	98.4000	38.2000	0.000	10K 1%	R0805_1_R0402_10K 1%	top
R154	94.5500	41.2000	270.000	10K 1%	R0805_1_R0402_10K 1%	bot
R155	93.1000	41.1000	90.000	10K 1%	R0805_1_R0402_10K 1%	bot
R156	91.3800	44.1900	270.000	10K 1%	R0805_1_R0402_10K 1%	top
R157	90.7000	43.7000	0.000	10K 1%	R0805_1_R0402_10K 1%	bot
